Mo,V
1400.0601,2859172.2
3400.3501,2732491.8
2300.1599,2384072.8
3500.3701,2392174.8
1700.09,2645035.2
3100.29,3305286.5
3400.3501,2802946.5
2900.25,3053061.5
2200.1499,2217289.0
4100.5,2308397.2
3900.46,1839519.5
5600.9399,2668258.8
2200.1499,2550451.0
3400.3501,2559120.8
3900.46,1855953.0
2200.1499,1548678.9
2400.1699,1753239.8
2100.1299,1361539.0
3800.4299,1313793.6
3500.3701,1687776.0
8302.0703,1859293.9
24417.9,1857670.8
,1982687.8
,2143371.5
,1547894.4
,1315944.2
,1873793.2
,1323031.6
,1516501.5
,1821043.5
25018.789,2159277.8
7801.8301,2264087.5
4600.6401,1984175.5
5000.75,1770728.4
4000.48,1896881.4
2800.24,1634038.9
5400.8799,2036722.4
2000.12,2379163.0
3800.4299,1849650.1
3700.4099,1358617.5
2600.2,1637325.5
1700.09,1602916.5
1700.09,1850164.1
1400.0601,1474761.6
3300.3301,1651473.2
4500.6099,1655517.5
5600.9399,1580950.9
8602.2197,1685679.5
8001.9199,1949658.2
6301.1899,1815335.8
9702.8301,2423554.0
4300.5601,2077569.6
6001.0801,2276274.0
3300.3301,1755606.8
4300.5601,1997728.1
3800.4299,2278072.8
4000.48,1801147.4
5500.9102,1777910.4
3100.29,1513810.0
2800.24,1154259.5
4800.6899,1538629.4
3700.4099,1396029.2
3000.27,1582154.8
3000.27,1802445.9
5400.8799,2129859.5
3900.46,2061393.0
7801.8301,2012444.0
3700.4099,2283713.0
5200.8101,2257798.0
3000.27,2345092.0
4100.5,1909311.4
3700.4099,2025320.4
4000.48,1957841.2
3900.46,2027498.0
3500.3701,1814875.9
4000.48,1957746.5
3800.4299,2030879.4
3800.4299,1862648.1
2300.1599,1892959.0
3100.29,1933549.2
4900.7202,1928233.8
4200.5298,1771742.8
3400.3501,2118944.5
2500.1899,1923391.5
4600.6401,1670138.6
1400.0601,1401926.4
1500.0699,2124192.2
3600.3899,1472705.8
2000.12,1515947.0
2500.1899,1338261.5
2400.1699,1840141.6
3100.29,2034774.8
3600.3899,1976019.6
6101.1201,1990586.6
5500.9102,2270728.5
2800.24,1860402.9
3000.27,1953837.6
4000.48,1929708.0
3600.3899,1970271.2
1900.11,1811494.4
2400.1699,1815051.6
1400.0601,1759786.1
2500.1899,1621121.9
2200.1499,1453512.9
2800.24,1328157.9
3000.27,1467119.6
2400.1699,1668312.6
2800.24,1805705.5
2600.2,1820759.5
3200.3101,1644683.5
4600.6401,1858428.2
2800.24,2040563.6
3400.3501,1652460.6
3500.3701,1616320.4
3200.3101,1364771.6
1800.1,1270741.8
4000.48,1607231.1
2800.24,1780723.8
3000.27,1627262.5
3600.3899,1354329.9
2900.25,1873739.1
4700.6602,1465591.2
1500.0699,1794195.2
2400.1699,1710201.4
3500.3701,1626234.6
1600.08,1523507.8
2700.22,1602186.1
1500.0699,1551059.4
1700.09,1532313.0
1900.11,1779141.2
1100.04,1704006.6
2100.1299,2167555.2
2700.22,1928490.8
2100.1299,1910339.4
2900.25,1885804.0
2100.1299,1980713.0
2000.12,2039995.6
2900.25,2029959.6
34235.172,2085495.6
3900.46,2443842.2
4000.48,1591176.2
4000.48,1641680.8
1700.09,2366773.5
1100.04,1387075.2
2000.12,1627384.2
1500.0699,1772216.1
1900.11,1830295.0
2200.1499,1774961.9
5901.0498,2123326.8
5300.8398,2168366.8
1700.09,2197365.8
2100.1299,2126884.0
1800.1,1728393.2
2300.1599,2570536.5
1200.04,2028823.5
1300.05,1681134.9
1200.04,1479346.8
1000.03,1261436.1
1500.0699,1555820.4
1500.0699,1046054.8
